"id","category","toy_name_pt","toy_name_en","recommended_age_hint","image_type","source_page_url","image_url","author","license","attribution_required","attribution_text","local_asset_path","visual_notes","approved_for_app"
"corpo_bola_macia","Corpo","bola macia","soft ball","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_bola_macia.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_tunel_infantil_dobravel","Corpo","túnel infantil dobrável","foldable toddler play tunnel","18m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_tunel_infantil_dobravel.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_bambole_infantil","Corpo","bambolê infantil","child hula hoop","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_bambole_infantil.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_tapete_movimento","Corpo","tapete de movimento","movement play mat","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_tapete_movimento.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_cones_coloridos","Corpo","cones coloridos","colorful activity cones","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_cones_coloridos.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_prancha_equilibrio_baixa","Corpo","prancha de equilíbrio baixa","low balance board","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_prancha_equilibrio_baixa.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_almofadas_percurso","Corpo","almofadas de percurso","soft obstacle path cushions","18m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_almofadas_percurso.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_argolas_arremesso","Corpo","argolas de arremesso","ring toss set","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_argolas_arremesso.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_cavalinho_balanco_simples","Corpo","cavalinho de balanço simples","simple rocking horse","18m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_cavalinho_balanco_simples.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"corpo_mini_cesta_bola","Corpo","mini cesta com bola","mini basket with ball","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/corpo_mini_cesta_bola.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_torre_empilhar","Mãos","torre de empilhar","stacking tower","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_torre_empilhar.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_encaixe_formas","Mãos","encaixe de formas","shape sorter","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_encaixe_formas.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
